"","Survey","Transect","Team","Species","ID","Distance","Detected","Beaufort","Glare","Subjective","Swell","TOD","Group.size","Group","W.R","W.L","y10","y01","y11"
"248","NES",3030161,"upper","STDO",10805,2911.789,1,3.9,0,2,0.6,17.358,34,2,5000,0,1,0,0
"249","NES",3030162,"upper","STDO",10806,2110.842,1,3.865,0,2,0.6,17.453,20,2,5000,0,0,0,1
"252","NES",3030882,"upper","STDO",10813,2027.717,1,3.2,0,3,0.4,18.669,7,2,5000,0,1,0,0
"254","NES",3031119,"upper","STDO",10826,920.0574,1,2.993,0,3,0.4,21.551,27,2,5000,0,0,0,1
"256","NES",3031119,"upper","STDO",10828,988.3217,1,2.993,0,3,0.4,21.663,48,2,5000,0,0,0,1
"258","NES",3031118,"upper","STDO",10830,4773.755,1,2.317,0,3,0.4,21.714,17,2,5000,0,1,0,0
"259","NES",3031118,"upper","STDO",10831,4443.612,1,2.317,0,3,0.4,21.855,5,2,5000,0,1,0,0
"262","NES",3031117,"upper","STDO",10852,1955.294,1,1,0,3,0.2,10.237,8,2,5000,0,1,0,0
"264","NES",3031836,"upper","STDO",10955,1333.279,1,1.3,1,3,0.2,12.913,28,2,5000,0,1,0,0
"265","NES",3033035,"upper","STDO",10986,3680.578,1,3.077,0.682,3,0.2,17.587,190,2,5000,0,1,0,0
"268","NES",3031836,"upper","STDO",11020,3275.182,1,1.3,1,3,0.2,12.772,2,2,5000,0,1,0,0
"270","NES",3038511,"upper","STDO",11742,273.0255,1,4,0,2,0.5,17.654,75,2,5000,0,0,0,1
"271","NES",3038511,"upper","STDO",11743,697.3078,1,4,0,2,0.5,17.848,64,2,5000,0,0,0,1
"274","NES",3038028,"upper","STDO",11790,752.5938,0,4,0.081,2,0.5,17.592,55,2,5000,0,0,1,0
"275","NES",3038028,"upper","STDO",11850,841.7929,1,4,0.081,2,0.5,17.608,120,2,5000,0,1,0,0
"277","NES",3036114,"upper","STDO",11866,1207.197,1,3.858,2,2.142,0.5,21.543,80,2,5000,0,0,0,1
"279","NES",3036114,"upper","STDO",11878,1740.351,1,3.858,2,2.142,0.5,20.968,68,2,5000,0,0,0,1
"282","NES",3036114,"upper","STDO",11879,194.5963,1,3.858,2,2.142,0.5,21.146,53,2,5000,0,1,0,0
"284","NES",3039241,"upper","STDO",11973,689.9552,1,1.966,1.551,3,0.2,10.025,26,2,5000,0,0,0,1
"285","NES",3040693,"upper","STDO",11983,260.3457,1,2,0,3,0.2,19.265,15,2,5000,0,1,0,0
"288","NES",3039242,"upper","STDO",12002,1071.768,1,1,3,3,0.2,10.612,19,2,5000,0,0,0,1
"290","NES",3040693,"upper","STDO",12006,928.6854,1,2,0,3,0.2,19.25,25,2,5000,0,0,0,1
"292","NES",3039242,"upper","STDO",12011,736.8605,1,1,3,3,0.2,10.789,52,2,5000,0,0,0,1
"294","NES",3038544,"upper","STDO",12037,1030.348,1,2,1,3,0.25,19.156,50,2,5000,0,0,0,1
"295","NES",3038064,"upper","STDO",12039,588.2449,0,2,1,3,0.25,20.119,30,2,5000,0,0,1,0
"297","NES",3039023,"upper","STDO",12045,483.758,1,2,0,3,0.25,17.239,132,2,5000,0,0,0,1
"300","NES",3039023,"upper","STDO",12047,226.0882,1,2,0,3,0.25,17.751,32,2,5000,0,0,0,1
"301","NES",3037104,"upper","STDO",12093,899.2862,1,1,1,3,0.3,10.956,12,2,5000,0,1,0,0
"303","NES",3035425,"upper","STDO",12114,4122.689,1,1,0,3,0.3,17.619,36,2,5000,0,1,0,0
"305","NES",3035186,"upper","STDO",12127,1616.653,1,3,0,3,0.3,18.631,90,2,5000,0,0,0,1
"307","NES",3035178,"upper","STDO",12164,828.9539,1,2,0.023,2.388,1.5,21.582,42,2,5000,0,0,0,1
"309","NES",3035178,"upper","STDO",12279,1157.54,0,3.913,1,2,1,13.134,15,2,5000,0,0,1,0
"312","NES",3035419,"upper","STDO",12291,1078.553,1,4.1,0.612,2,1,13.346,20,2,5000,0,1,0,0
"313","NES",3033036,"upper","STDO",12330,286.327,0,2.183,0.587,3,0.5,17.516,50,2,5000,0,0,1,0
"316","NES",3034229,"upper","STDO",12350,1164.294,1,3.654,1,2,1.3,11.018,35,2,5000,0,1,0,0
"317","NES",3033527,"upper","STDO",12381,2581.11,1,2.4,1,3,0.5,19.434,48,2,5000,0,0,0,1
"319","NES",3033287,"upper","STDO",12382,3250.457,1,1.871,1.28,3,0.5,20.025,90,2,5000,0,1,0,0
"322","NES",3031126,"upper","STDO",12410,581.7744,1,3.4,3,3,0.2,13.44,37,2,5000,0,0,0,1
"323","NES",3029926,"upper","STDO",12421,2028.282,1,1.2,0,3,0.2,17.782,10,2,5000,0,0,0,1
"325","NES",3029442,"upper","STDO",12454,2580.718,0,1.572,2,3,0.1,22.496,8,2,5000,0,0,1,0
"327","NES",3031366,"upper","STDO",12459,612.8356,1,3.046,3,3,0.2,12.942,8,2,5000,0,0,0,1
"330","NES",3029443,"upper","STDO",12474,2939.017,1,2.068,2,3,0.1,22.321,55,2,5000,0,1,0,0
"332","NES",3031366,"upper","STDO",12484,583.9085,1,3.046,3,3,0.2,12.547,80,2,5000,0,0,0,1
"334","NES",3029446,"upper","STDO",12525,2709.703,1,2.1,1,3,0.1,19.669,117,2,5000,0,0,0,1
"335","NES",3029446,"upper","STDO",12526,198.0851,1,2.1,1,3,0.1,19.682,15,2,5000,0,1,0,0
"338","NES",3031606,"upper","STDO",12534,3862.049,1,3,3,3,0.2,12.241,32,2,5000,0,1,0,0
"340","NES",3031596,"upper","STDO",12552,1038.772,1,2.607,1.022,3,0.6,21.642,18,2,5000,0,1,0,0
"341","NES",3031596,"upper","STDO",12558,1035.837,0,2.607,1.022,3,0.6,22.004,4,2,5000,0,0,1,0
"343","NES",3029681,"upper","STDO",12571,0,1,2.3,3,3,0.2,10.935,40,2,5000,0,0,0,1
"345","NES",3029921,"upper","STDO",12576,939.9685,0,2.389,3,3,0.2,11.178,9,2,5000,0,0,1,0
"347","NES",3029921,"upper","STDO",12580,202.1775,1,2.389,3,3,0.2,11.351,23,2,5000,0,0,0,1
"349","NES",3029921,"upper","STDO",12581,70.71068,0,2.389,3,3,0.2,11.394,38,2,5000,0,0,1,0
"351","NES",3030162,"upper","STDO",12587,3026.363,0,2.8,3,3,0.2,12.144,34,2,5000,0,0,1,0
"354","NES",3031120,"upper","STDO",12610,3877.977,1,2.66,0,2.703,0.4,17.254,18,2,5000,0,0,0,1
"355","NES",3031118,"upper","STDO",12617,1813.927,0,2.243,0,3,0.4,18.186,10,2,5000,0,0,1,0
"358","NES",3031596,"upper","STDO",12669,0,1,2.607,1.022,3,0.6,21.608,85,2,5000,0,0,0,1
"359","NES",3030161,"upper","STDO",12712,360.1216,1,2.8,3,3,0.2,11.871,15,2,5000,0,0,0,1
"362","NES",3030162,"upper","STDO",12715,3258.056,1,2.8,3,3,0.2,12.113,65,2,5000,0,0,0,1
"364","NES",3031118,"upper","STDO",12746,2728.878,1,2.243,0,3,0.4,18.351,32,2,5000,0,1,0,0
"366","NES",3037568,"upper","STDO",12871,588.4188,0,2.257,0.258,3,0.1,14.135,25,2,5000,0,0,1,0
"368","NES",3037808,"upper","STDO",12876,1610.756,1,2.48,0,3,0.1,14.45,11,2,5000,0,0,0,1
"369","NES",3038050,"upper","STDO",12883,521.3697,1,2.8,0,3,0.1,17.969,22,2,5000,0,0,0,1
"371","NES",3038534,"upper","STDO",12891,205.1064,0,2.8,0.613,3,0.1,20.181,69,2,5000,0,0,1,0
"374","NES",3037326,"upper","STDO",12894,4428.904,1,1.3,2,3,0.2,12.636,43,2,5000,0,0,0,1
"375","NES",3037567,"upper","STDO",12898,850.2478,1,1.803,2,3,0.1,13.974,74,2,5000,0,0,0,1
"378","NES",3037568,"upper","STDO",12899,2386.878,1,2.257,0.258,3,0.1,13.993,20,2,5000,0,0,0,1
"379","NES",3038051,"upper","STDO",12910,1418.6,1,2.8,0,3,0.1,18.309,60,2,5000,0,0,0,1
"382","NES",3038534,"upper","STDO",12922,454.8268,1,2.8,0.613,3,0.1,20.386,56,2,5000,0,0,0,1
"384","NES",3034705,"upper","STDO",12931,964.1063,1,4.3,3,2,0.9,21.613,80,2,5000,0,0,0,1
"386","NES",3034704,"upper","STDO",12944,2091.386,1,4.3,3,2,0.9,21.674,60,2,5000,0,0,0,1
"388","NES",3036831,"upper","STDO",45622,79.46148,1,2,0,3,0.6,19.014,28,2,5000,0,0,0,1
"390","NES",3038751,"upper","STDO",45679,1024.211,1,3.258,3,3,1,11.189,30,2,5000,0,0,0,1
"392","NES",3040910,"upper","STDO",45688,916.6973,0,3.412,2,2,1,17.046,10,2,5000,0,0,1,0
"393","NES",3040898,"upper","STDO",45718,1971.281,1,4.339,2.882,2,1.2,13.671,45,2,5000,0,0,0,1
"395","NES",3040898,"upper","STDO",45719,1701.228,1,4.339,2.882,2,1.2,13.962,95,2,5000,0,1,0,0
"397","NES",3040658,"upper","STDO",45724,344.72,1,4.164,1,2,1,16.42,19,2,5000,0,0,0,1
"400","NES",3039219,"upper","STDO",45770,1030.348,1,3.2,3,3,0.75,20.686,12,2,5000,0,0,0,1
"402","NES",3039219,"upper","STDO",45773,2386.878,1,3.2,3,3,0.75,20.75,40,2,5000,0,0,0,1
"403","NES",3039219,"upper","STDO",45778,4132.539,0,3.2,3,3,0.75,21.051,32,2,5000,0,0,1,0
"406","NES",3039220,"upper","STDO",45779,449.385,0,3.2,3,3,0.75,21.177,11,2,5000,0,0,1,0
"407","NES",3039220,"upper","STDO",45780,487.8691,0,3.2,3,3,0.75,21.269,16,2,5000,0,0,1,0
"409","NES",3039462,"upper","STDO",45796,2241.142,1,1.3,0,3,0.5,10.124,85,2,5000,0,0,0,1
"411","NES",3039462,"upper","STDO",45803,1099.141,0,1.3,0,3,0.5,10.763,43,2,5000,0,0,1,0
"414","NES",3039463,"upper","STDO",45804,1702.015,1,1.214,0,3,0.5,11.103,90,2,5000,0,0,0,1
"415","NES",3039463,"upper","STDO",45805,158.4943,1,1.214,0,3,0.5,11.126,5,2,5000,0,1,0,0
"418","NES",3039463,"upper","STDO",45806,449.385,0,1.214,0,3,0.5,11.173,5,2,5000,0,0,1,0
"420","NES",3039222,"upper","STDO",45811,584.4777,1,1.2,0,3,0.5,11.586,20,2,5000,0,0,0,1
"421","NES",3039222,"upper","STDO",45813,363.7205,1,1.2,0,3,0.5,11.664,10,2,5000,0,0,0,1
"423","NES",3037792,"upper","STDO",45985,3566.557,1,2.2,1.547,3,0.25,10.606,65,2,5000,0,0,0,1
"426","NES",3037792,"upper","STDO",45986,4519.98,0,2.2,1.547,3,0.25,10.641,80,2,5000,0,0,1,0
"427","NES",3037792,"upper","STDO",45988,1939.931,0,2.2,1.547,3,0.25,10.701,4,2,5000,0,0,1,0
"430","NES",3037793,"upper","STDO",45989,69.35424,1,2.2,1,3,0.25,10.722,7,2,5000,0,0,0,1
"431","NES",3038275,"upper","STDO",46009,3777.047,1,2.2,1,3,0.5,12.236,75,2,5000,0,0,0,1
"434","NES",3038518,"upper","STDO",46038,3114.962,1,2.843,3,2,0.5,14.21,20,2,5000,0,1,0,0
"436","NES",3039001,"upper","STDO",46060,3913.315,1,2.9,1,3,0.5,17.62,35,2,5000,0,0,0,1
